images/PXL_20210103_180726053,Überprüfe deine Bauteile;Säubere die Oberflächen der Holzteile mit Schleifpapier.;Tipp: Wenn du später die Holzteile verleimst{,} hilft Kreppband um alles zusammen zu halten.
images/PXL_20210103_180850580,Trenne den Anschluss vom Lüfter. Es sollte so viel Kabel wie möglich am Lüfter bleiben.
images/PXL_20210103_181303494,Löte das rote Kabel des Lüfters an den Lötpunkt OUT+ des DC-DC step-up;Löte das rot-schwarze Kabel an den Lötpunkt OUT-.
images/PXL_20210103_182816521,Schraube das Lüftergitter und die Rückwand mit den Lüfter-Schrauben auf den Lüfter.;Die Luftstromrichtung sollte nach draußen (in Richtung des Lüftergritters) zeigen. Die Luftstromrichtung erkennt man am Pfeil der auf dem scharzen Plastik seitlich am Lüfter eingeprägt ist.;Das Kabel sollte bei der Montage wie abgebildet auf der linken Seite sein. Der spezielle Ausbruch auf der Rückwand (für die USB Buchse der Stromversorgung) sollten sich rechts befinden (siehe Bild).
images/PXL_20210103_182911394,Nimm nun das Holzteil auf der die Umrandung des DC-DC step-up zu sehen ist. Lege es für die Montage bereit{,} sodass die Umrandung auf dem Holzteil mit dem Ausbruck auf der Rückwand übereinstimmt (siehe Bild). Noch nicht montieren! Gehe zum nächsten Schritt.
images/PXL_20210103_183023364,Klebe nun den DC-DC step-up auf das Holzteil mit der Umrandung.;Verleime nun das Bodenteil an die Rückwand (wie im vorherigen Schritt vorbereitet und gezeigt).
images/PXL_20210103_183108985,Leime das Seitenteil mit dem Logo an Rückwand und Bodenteil{,} sodass das Logo nach Außen zeigt.
images/PXL_20210103_183318744,Achte auf das Kabel: Es sollte an der Seite des Lüfters verlaufen.
images/PXL_20210103_183347364,Klebe das Seitenteil mit Loch auf die Rückwand und das Bodenteil. Das Loch zeigt dabei nach Unten sodass die Einstellschraube des DC-DC step-up durch das Loch erreichbar sein sollte.
images/PXL_20210103_183628250,Verleime die Front an deinen Humo.
images/PXL_20210103_183715587,Schneide den Aktivkohlefilter zurecht (verwende den Abstandhalter als Schablone).;Schiebe Aktivkohlefilter und Abstandhalter in deinen Humo.
images/PXL_20210103_183807474,Lege den Deckel ein.;Dieses Holzteil soll nicht verleimt werden{,} um den Aktivkohlefilter von Zeit zu Zeit wechseln zu können.
images/PXL_20210103_183919119,Schraube die Arme an deinen Humo.; Du bist nun fertig!; Steck den Humo an einen USB-Anschluss und stell die Lüftergeschwindigkeit mit der Einstellschraube ein (an der Seite).;Der Lüfter sollte nicht dauerhaft auf maximaler Geschwindigkeit laufen (das könnte den Lüfter beschädigen).; Etwa die Hälfte der Geschwindigkeit reicht vollkommen.;Du kannst nun die Holzteile noch ölen oder lackieren{,} aber das ist optional.
