images/PXL_20210831_115257541,Check your parts.;A CR2032 battery is not included. You can get them online or at bigger electronic stores. It's possible you have one long cable instead of two shorter ones. You can cut them in half later.
images/PXL_20210831_115823540,Turn the PCB to the back-side.;Add solder to all four long LED-Pads marked with an +.
images/PXL_20210831_120255851,The long leg of the LED marks the positive side.; Bend the legs{,} so that the LED lays flat on the board and the legs are also touching the board.;Solder the posive leg (long) to the positive pad where you've added the solder already.;Ensure that the second leg also touches the other pad without solder.
images/PXL_20210831_120456820,Solder the other leg of the LED (cathode{,} negative side) to the board.;Cut away the excess of the legs.
images/PXL_20210831_120605148,The button has no direction;Add solder to one pad of the button.;Bend the legs of the button so it can touch the surface of the board.;Heat up the pad with the solder again and push the button from the side onto the pad.;Make sure the other leg of the button touches the other pad.
images/PXL_20210831_120652815,Solder the other leg of the button onto the board.
images/PXL_20210831_120832960,The battery holder has a direction marked with a cut edge. You can find the same missing edge also on the board;Add solder to one pad of the battery holder.;Heat up the pad with the solder again and push the batteryholder from the side onto the pad.;Make sure the other leg of the battery holder touches the other pad.;Solder the other leg onto the other pad on the board.
images/PXL_20210831_121914292,Remove the plastic insulation from the wires (if it exists) and straighten them; insert the wires into the holes at the head of the butterfly and bend the wires upwards; solder the two wires in place; optional: cut a short piece of wire beforehand to form a small ring. Put the ring through the holes at the wing tips and solder the rings. Here you can hang necklace links.
images/PXL_20210831_123231678,If you wish{,} you can add hot glue to the yellow part of the board on the back-side. This helps distribute the light of the LED better.
images/PXL_20210831_123328813,Insert the battery as shown of the picture.; The receivers of the positive side need to touch the top of the battery. Slide it from the left in and push only the the receivers on the left (negative) side down.
images/PXL_20210831_123347706,You are finished!; Alternatively{,} you can thread a necklace through the loops and wear it as a brooch. Or use a combination of hot glue and a clothes pin to make it wearable. 
